"country_code","series_code","year","value"
BLZ,EG.USE.COMM.GD.PP.KD,"2007",75.47993503
BLZ,EG.USE.COMM.GD.PP.KD,"2008",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2009",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2010",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2011",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2012",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2013",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2014",NA
BLZ,EG.USE.COMM.GD.PP.KD,"2015",NA
BLZ,IT.NET.USER.P2,"2006",24.0
BLZ,IT.NET.USER.P2,"2007",24.6
